figure_id,model,condition,layer,point_order,fpr,tpr,risk_threshold,margin_threshold,status,source
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,46,0.2527472527,0.6216216216,-17.2440090179,17.2440090179,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,47,0.2637362637,0.6216216216,-17.7008323669,17.7008323669,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,48,0.2747252747,0.6216216216,-17.9930038452,17.9930038452,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,49,0.2857142857,0.6216216216,-18.0831394196,18.0831394196,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,50,0.2967032967,0.6216216216,-18.1661453247,18.1661453247,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,51,0.3076923077,0.6216216216,-18.1979904175,18.1979904175,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,52,0.3076923077,0.6486486486,-18.2565689087,18.2565689087,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,53,0.3186813187,0.6486486486,-18.4577560425,18.4577560425,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,54,0.3186813187,0.6756756757,-18.9425811768,18.9425811768,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,55,0.3296703297,0.6756756757,-18.9426383972,18.9426383972,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,56,0.3296703297,0.7027027027,-19.0304088593,19.0304088593,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,57,0.3406593407,0.7027027027,-19.2060852051,19.2060852051,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,58,0.3406593407,0.7297297297,-19.2746868134,19.2746868134,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,59,0.3516483516,0.7297297297,-19.3552551270,19.3552551270,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,60,0.3626373626,0.7297297297,-19.7175483704,19.7175483704,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,61,0.3626373626,0.7567567568,-19.7723999023,19.7723999023,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,62,0.3626373626,0.7837837838,-19.9104843140,19.9104843140,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,63,0.3626373626,0.8108108108,-20.0397434235,20.0397434235,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,64,0.3736263736,0.8108108108,-20.1198444366,20.1198444366,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,65,0.3846153846,0.8108108108,-20.1569576263,20.1569576263,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,66,0.3956043956,0.8108108108,-20.2409324646,20.2409324646,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,67,0.4065934066,0.8108108108,-20.5832538605,20.5832538605,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,68,0.4065934066,0.8378378378,-20.6128273010,20.6128273010,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,69,0.4175824176,0.8378378378,-20.6830596924,20.6830596924,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
